score,hla,n_pep,macro,mx,var,n_ge_best,p_max,p_max_bh
kf4_mean_a,A*02:01,10,0.5007719298245614,0.5185964912280702,0.00017671406586642024,0,0.791104447776112,0.8821164638919479
kf10_sum_b,A*02:01,10,0.5006783625730995,0.5181286549707602,0.00023296549365616734,0,0.7986006996501749,0.8826639311922986
kf5_sum_b,A*02:01,10,0.5004912280701754,0.5178947368421053,0.0001189584487534629,0,0.8065967016491754,0.8837494296330095
kf7_sum_ab,A*02:01,10,0.5003976608187135,0.5174269005847953,0.00017441865873260134,0,0.8265867066466767,0.897844181357597
kf5_mean_b,A*02:01,10,0.5004912280701754,0.5171929824561403,0.00011924298074621226,0,0.8350824587706147,0.8993195709837389
kf3_sum_ab,B*40:01,10,0.5000935672514619,0.5163742690058479,0.00010657036353065898,0,0.8530734632683659,0.9109089523035093
kf5_sum_ab,B*40:01,10,0.5004678362573098,0.516140350877193,0.00014677473410622081,0,0.8740629685157422,0.9177661169415292
kf9_sum_ab,B*40:01,10,0.5008187134502924,0.516140350877193,0.00014622755719708645,0,0.8680659670164917,0.9177661169415292
kf1_sum_b,A*02:01,10,0.5003976608187135,0.5153216374269006,8.517957662186666e-05,0,0.9005497251374313,0.9300759456337405
kf6_mean_b,B*40:01,10,0.5007485380116959,0.5148538011695907,0.00019799103997811322,0,0.9110444777611194,0.9332650747796833
kf9_sum_a,B*40:01,10,0.5006432748538012,0.5147368421052632,0.00010706952566601708,0,0.9005497251374313,0.9300759456337405
kf2_sum_a,B*40:01,10,0.5003976608187135,0.5134502923976608,0.00011634950925070956,0,0.9425287356321839,0.9520839580209896
kf2_mean_a,B*40:01,10,0.5003274853801171,0.5132163742690059,0.00011837023357614315,0,0.9445277361319341,0.9520839580209896
kf7_sum_b,A*02:01,10,0.5001871345029241,0.5097076023391813,3.3099278410451244e-05,0,0.9940029985007496,0.9940029985007496
