cohort,chain,min_n,pseudo,d,n_ep,n_finite,n_pinned,sn,lo,hi
vdjdb_hq,A,10,0.1,2,76,76,0,7.5565166263784365,5.045867982191886,11.316376830756779
vdjdb_hq,A,10,0.1,3,76,76,0,5.587480834993113,3.8914523033778825,8.022696835912805
vdjdb_hq,A,10,0.5,1,76,76,1,5.601318009192618,4.032739330665436,7.780012757464404
vdjdb_hq,A,10,0.5,2,76,76,0,6.0339851778959455,4.323690406156856,8.420810397345344
vdjdb_hq,A,10,0.5,3,76,76,0,5.021487922953698,3.705001383977527,6.8057575010403255
vdjdb_hq,A,10,1.0,1,76,76,1,4.391851711348042,3.2816952303377054,5.877560254882609
vdjdb_hq,A,10,1.0,2,76,76,0,5.101486262885962,3.750716849569814,6.9387168197991596
vdjdb_hq,A,10,1.0,3,76,76,0,4.483715844171079,3.37909252568007,5.949439862474535
vdjdb_hq,A,20,0.0,1,60,49,0,26.377547026697346,17.590366370518247,39.55432038708191
vdjdb_hq,A,20,0.0,2,60,55,0,13.945234803494694,9.603819557315319,20.24919070626128
vdjdb_hq,A,20,0.0,3,60,59,0,7.316427576464544,5.257306869329378,10.182040693485172
vdjdb_hq,A,20,0.1,1,60,60,0,12.070526720327537,7.789418783565394,18.704555417349376
vdjdb_hq,A,20,0.1,2,60,60,0,9.061711186875831,5.99764605416212,13.691139639253372
vdjdb_hq,A,20,0.1,3,60,60,0,6.596171664438521,4.707610331854694,9.242370876010863
vdjdb_hq,A,20,0.5,1,60,60,0,7.527592821051504,5.312160795626644,10.666968839910982
vdjdb_hq,A,20,0.5,2,60,60,0,7.471370209389476,5.24478475323075,10.643215199892992
vdjdb_hq,A,20,0.5,3,60,60,0,5.882096122116576,4.299173964412585,8.047837811686758
vdjdb_hq,A,20,1.0,1,60,60,0,5.733840589016954,4.1881718742423075,7.849947157721681
vdjdb_hq,A,20,1.0,2,60,60,0,6.36722856701146,4.571306941451778,8.868710883739391
vdjdb_hq,A,20,1.0,3,60,60,0,5.306793424645567,3.9281517748579695,7.16928929073258
vdjdb_hq,A,30,0.0,1,46,41,0,21.582240261162173,13.990281671581165,33.29404694093526
vdjdb_hq,A,30,0.0,2,46,44,0,10.95161179046974,7.491681587738418,16.009463216570385
vdjdb_hq,A,30,0.0,3,46,46,0,6.002656110413929,4.2218672778397766,8.534583872169065
vdjdb_hq,A,30,0.1,1,46,46,0,13.743734241754225,8.598716957233147,21.967257655698866
vdjdb_hq,A,30,0.1,2,46,46,0,8.803372935325477,5.758566292401856,13.45810243439894
vdjdb_hq,A,30,0.1,3,46,46,0,5.905063666320705,4.162478397486985,8.377167056134843
vdjdb_hq,A,30,0.5,1,46,46,0,9.153394082340505,6.267770393028162,13.36753230779201
vdjdb_hq,A,30,0.5,2,46,46,0,7.910100688068906,5.408830671240904,11.568062802940977
vdjdb_hq,A,30,0.5,3,46,46,0,5.580757718218748,3.963734687400578,7.857452419420879
vdjdb_hq,A,30,1.0,1,46,46,0,7.0521903687747685,4.998633764447621,9.949396443317035
vdjdb_hq,A,30,1.0,2,46,46,0,7.045415660461205,4.907426839521215,10.114849075063304
vdjdb_hq,A,30,1.0,3,46,46,0,5.27052564849328,3.771179402824666,7.365982268204759
vdjdb_hq,A,50,0.0,1,35,32,0,17.228292761229795,11.466607426154606,25.885081823733568
vdjdb_hq,A,50,0.0,2,35,35,0,9.97150064994511,6.807218274990848,14.606675031584683
vdjdb_hq,A,50,0.0,3,35,35,0,6.038862766319812,4.218390587784733,8.64497081328704
vdjdb_hq,A,50,0.1,1,35,35,0,14.092772360950487,8.638973161254397,22.989564744605822
vdjdb_hq,A,50,0.1,2,35,35,0,9.64569207496978,6.602323419713664,14.091914268745386
vdjdb_hq,A,50,0.1,3,35,35,0,5.980536321232089,4.181343338663086,8.5539052387437
